,site_id,url,deal_type,city,zip_code,post_canton,accuracy,latitude,longitude,price_unit,price,property_type,living_space,rooms,perspective,year_built,outdoor_parking,indoor_parking,balcony,property_area,fireplace,pets_allowed,floor,wheelchair_accessible,ceiling_height,lift,cable_tv,last_renovation,floor_space,cubage,minergie_certified
4037,3000399084,https://www.homegate.ch/rent/3000399084,rent,Bachenbülach,8184,ZH,HIGH,47.5006904,8.5446941,Month,1836.0,APARTMENT,90.0,3.5,,2004.0,,1.0,1.0,,,,1,,,,1.0,,,,
4038,3000375497,https://www.homegate.ch/rent/3000375497,rent,Bachenbülach,8184,ZH,HIGH,47.5037105,8.548533899999999,Month,1895.0,APARTMENT,135.0,3.5,1.0,,1.0,1.0,1.0,,1.0,1.0,3,,,,,,,,
4044,3000348846,https://www.homegate.ch/rent/3000348846,rent,Affoltern am Albis,8910,ZH,HIGH,47.2720198,8.450694499999999,Month,2260.0,APARTMENT,109.0,5.5,,1984.0,,,,,,1.0,1,,,1.0,,2016.0,,,
4045,3000345313,https://www.homegate.ch/rent/3000345313,rent,Affoltern am Albis,8910,ZH,HIGH,47.2778678,8.4522598,Month,2265.0,APARTMENT,115.0,4.5,,1996.0,,,,,,1.0,3,,,1.0,1.0,,,,
4056,3000355534,https://www.homegate.ch/rent/3000355534,rent,Pfungen,8422,ZH,HIGH,47.5145844,8.641875800000001,Month,1620.0,APARTMENT,83.0,4.0,,1962.0,1.0,,1.0,,,1.0,1,,,,1.0,1996.0,,181.0,
4057,3000222102,https://www.homegate.ch/rent/3000222102,rent,Pfungen,8422,ZH,HIGH,47.5172652,8.6419304,Month,1690.0,APARTMENT,93.0,4.0,,,,1.0,,,,,2,,,,1.0,2020.0,,,
4059,3000370810,https://www.homegate.ch/rent/3000370810,rent,Weiach,8187,ZH,HIGH,47.5560649,8.438395,Month,1450.0,APARTMENT,70.0,3.5,,,1.0,,1.0,,,1.0,1,,,,1.0,,,,
4060,3000285054,https://www.homegate.ch/rent/3000285054,rent,Weiach,8187,ZH,LOW,47.5565171,8.4449863,Month,1700.0,APARTMENT,100.0,3.5,,,1.0,,1.0,,,,1,,,,1.0,2019.0,,,
4061,3000310372,https://www.homegate.ch/rent/3000310372,rent,Mettmenstetten,8932,ZH,HIGH,47.25872709999999,8.4399845,Month,1785.0,APARTMENT,63.0,3.5,1.0,2015.0,,1.0,1.0,,,1.0,1,,,1.0,,,,,
4062,3000288928,https://www.homegate.ch/rent/3000288928,rent,Mettmenstetten,8932,ZH,HIGH,47.2437504,8.461229,Month,1830.0,APARTMENT,87.0,3.5,,,,,,,,1.0,2,,,,,,,,
4065,3000343874,https://www.homegate.ch/rent/3000343874,rent,Berg am Irchel,8415,ZH,HIGH,47.5678631,8.5971408,Month,2400.0,APARTMENT,146.0,4.5,1.0,2008.0,1.0,1.0,1.0,,1.0,1.0,1,,,1.0,1.0,,160.0,,1.0
4068,3000207162,https://www.homegate.ch/rent/3000207162,rent,Bachenbülach,8184,ZH,HIGH,47.50497740000001,8.5488187,Month,1985.0,APARTMENT,82.0,3.5,,1995.0,,1.0,,,,1.0,Ground,,,,1.0,,,,
4074,3000405483,https://www.homegate.ch/rent/3000405483,rent,Affoltern am Albis,8910,ZH,HIGH,47.2808956,8.453692,Month,2290.0,APARTMENT,145.0,4.5,1.0,1996.0,,1.0,1.0,,1.0,1.0,3,,,1.0,1.0,,,,
